torch.chain_matmul chain_matmul /home/sjy/code/pytorch/aten/src/ATen/native/LinearAlgebra.cpp
torch.chalf chalf /home/sjy/code/pytorch/aten/src/ATen/native/TensorTransformations.cpp
torch.channel_shuffle channel_shuffle /home/sjy/code/pytorch/aten/src/ATen/native/ChanelShuffle.cpp
torch.cholesky cholesky /home/sjy/code/pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp
torch.cholesky_inverse cholesky_inverse /home/sjy/code/pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp
torch.cholesky_solve cholesky_solve /home/sjy/code/pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp
torch.chunk chunk /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.clip clip /home/sjy/code/pytorch/aten/src/ATen/native/TensorCompare.cpp
torch.clone clone /home/sjy/code/pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp
torch.column_stack column_stack /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.combinations combinations /home/sjy/code/pytorch/aten/src/ATen/native/Itertools.cpp
torch.complex complex /home/sjy/code/pytorch/aten/src/ATen/native/TensorFactories.cpp
torch.concat concat /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.concatenate concatenate /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.conj conj /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.conj_physical conj_physical /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.constant_pad_nd constant_pad_nd /home/sjy/code/pytorch/aten/src/ATen/native/PadNd.cpp
torch.conv1d conv1d /home/sjy/code/pytorch/aten/src/ATen/native/Convolution.cpp
torch.conv2d conv2d /home/sjy/code/pytorch/aten/src/ATen/native/Convolution.cpp
torch.conv3d conv3d /home/sjy/code/pytorch/aten/src/ATen/native/Convolution.cpp
torch.conv_tbc conv_tbc /home/sjy/code/pytorch/aten/src/ATen/native/ConvolutionTBC.cpp
torch.conv_transpose1d conv_transpose1d /home/sjy/code/pytorch/aten/src/ATen/native/Convolution.cpp
torch.conv_transpose2d conv_transpose2d /home/sjy/code/pytorch/aten/src/ATen/native/Convolution.cpp
torch.conv_transpose3d conv_transpose3d /home/sjy/code/pytorch/aten/src/ATen/native/Convolution.cpp
torch.convolution convolution /home/sjy/code/pytorch/aten/src/ATen/native/Convolution.cpp
torch.copysign binary /home/sjy/code/pytorch/aten/src/ATen/native/BinaryOps.cpp
torch.corrcoef corrcoef /home/sjy/code/pytorch/aten/src/ATen/native/Correlation.cpp
torch.cosine_embedding_loss cosine_embedding_loss /home/sjy/code/pytorch/aten/src/ATen/native/Loss.cpp
torch.cosine_similarity cosine_similarity /home/sjy/code/pytorch/aten/src/ATen/native/Distance.cpp
torch.count_nonzero count_nonzero /home/sjy/code/pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp
torch.cov cov /home/sjy/code/pytorch/aten/src/ATen/native/Correlation.cpp
torch.cross cross /home/sjy/code/pytorch/aten/src/ATen/native/Cross.cpp
torch._C._nn.cross_entropy_loss cross_entropy_loss /home/sjy/code/pytorch/aten/src/ATen/native/LossNLL.cpp
torch.ctc_loss ctc_loss /home/sjy/code/pytorch/aten/src/ATen/native/LossCTC.cpp
torch.cudnn_grid_sampler cudnn_grid_sampler /home/sjy/code/pytorch/aten/src/ATen/native/GridSampler.cpp
torch.cudnn_is_acceptable cudnn_is_acceptable /home/sjy/code/pytorch/aten/src/ATen/native/TensorProperties.cpp
torch.cummax cummax /home/sjy/code/pytorch/aten/src/ATen/native/ReduceOps.cpp
