api_name op_name file_path
tf.raw_ops.BlockLSTMGrad BlockLSTMGradOp /home/sjy/code/tensorflow/tensorflow/core/kernels/rnn/lstm_ops.cc
tf.raw_ops.BlockLSTMGradV2 BlockLSTMGradOp /home/sjy/code/tensorflow/tensorflow/core/kernels/rnn/lstm_ops.cc
tf.raw_ops.BlockLSTMV2 BlockLSTMOp /home/sjy/code/tensorflow/tensorflow/core/kernels/rnn/lstm_ops.cc
tf.raw_ops.BroadcastArgs BCastArgsOp /home/sjy/code/tensorflow/tensorflow/core/kernels/bcast_ops.cc
tf.raw_ops.BroadcastGradientArgs BCastGradArgsOp /home/sjy/code/tensorflow/tensorflow/core/kernels/bcast_ops.cc
tf.raw_ops.BroadcastTo BroadcastToOp /home/sjy/code/tensorflow/tensorflow/core/kernels/broadcast_to_op.cc
tf.raw_ops.Bucketize BucketizeOp /home/sjy/code/tensorflow/tensorflow/core/kernels/bucketize_op.cc
tf.raw_ops.CTCBeamSearchDecoder CTCBeamSearchDecoderOp /home/sjy/code/tensorflow/tensorflow/core/kernels/ctc_decoder_ops.cc
tf.raw_ops.CTCGreedyDecoder CTCGreedyDecoderOp /home/sjy/code/tensorflow/tensorflow/core/kernels/ctc_decoder_ops.cc
tf.raw_ops.CTCLoss CTCLossOp /home/sjy/code/tensorflow/tensorflow/core/kernels/ctc_loss_op.cc
tf.raw_ops.Cast CpuCastOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cast_op.cc
tf.raw_ops.Ceil UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.CheckNumerics CheckNumericsOp /home/sjy/code/tensorflow/tensorflow/core/kernels/check_numerics_op.cc
tf.raw_ops.CheckNumericsV2 CheckNumericsV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/check_numerics_op.cc
tf.raw_ops.Cholesky CholeskyOp /home/sjy/code/tensorflow/tensorflow/core/kernels/linalg/cholesky_op.cc
tf.raw_ops.CholeskyGrad CholeskyGrad /home/sjy/code/tensorflow/tensorflow/core/kernels/linalg/cholesky_grad.cc
tf.raw_ops.ClipByValue ClipOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_op_clip.cc
tf.raw_ops.CollectiveAssignGroupV2 CollectiveAssignGroupV2OpKernel /home/sjy/code/tensorflow/tensorflow/core/kernels/collective_ops.cc
tf.raw_ops.CollectiveBcastRecv CollectiveBcastRecvOpKernel /home/sjy/code/tensorflow/tensorflow/core/kernels/collective_ops.cc
tf.raw_ops.CollectiveBcastRecvV2 CollectiveBcastRecvV2OpKernel /home/sjy/code/tensorflow/tensorflow/core/kernels/collective_ops.cc
tf.raw_ops.CollectiveBcastSend CollectiveBcastSendOpKernel /home/sjy/code/tensorflow/tensorflow/core/kernels/collective_ops.cc
tf.raw_ops.CollectiveBcastSendV2 CollectiveBcastSendV2OpKernel /home/sjy/code/tensorflow/tensorflow/core/kernels/collective_ops.cc
tf.raw_ops.CollectiveGather CollectiveGatherOpKernel /home/sjy/code/tensorflow/tensorflow/core/kernels/collective_ops.cc
tf.raw_ops.CollectiveInitializeCommunicator CollectiveInitializeCommunicatorOpKernel /home/sjy/code/tensorflow/tensorflow/core/kernels/collective_ops.cc
tf.raw_ops.CollectiveReduce CollectiveReduceOpKernel /home/sjy/code/tensorflow/tensorflow/core/kernels/collective_ops.cc
tf.raw_ops.CombinedNonMaxSuppression CombinedNonMaxSuppressionOp /home/sjy/code/tensorflow/tensorflow/core/kernels/image/non_max_suppression_op.cc
tf.raw_ops.Complex BinaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.ComplexAbs UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.ComputeAccidentalHits ComputeAccidentalHitsOp /home/sjy/code/tensorflow/tensorflow/core/kernels/candidate_sampler_ops.cc
tf.raw_ops.ConcatOffset ConcatOffsetOp /home/sjy/code/tensorflow/tensorflow/core/kernels/concat_op.cc
tf.raw_ops.ConditionalAccumulator ConditionalAccumulatorOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conditional_accumulator_op.cc
tf.raw_ops.ConjugateTranspose ConjugateTransposeCpuOp /home/sjy/code/tensorflow/tensorflow/core/kernels/transpose_op.cc
tf.raw_ops.Const ConstantOp /home/sjy/code/tensorflow/tensorflow/core/kernels/constant_op.cc
tf.raw_ops.ControlTrigger ControlTriggerOp /home/sjy/code/tensorflow/tensorflow/core/kernels/control_flow_ops.cc
tf.raw_ops.Conv2D Conv2DOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conv_ops.cc
tf.raw_ops.Conv2DBackpropFilter Conv2DCustomBackpropFilterOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conv_grad_filter_ops.cc
tf.raw_ops.Conv2DBackpropInput Conv2DBackpropInputOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conv_grad_input_ops.cc
tf.raw_ops.Conv3D Conv3DOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conv_ops_3d.cc
tf.raw_ops.Conv3DBackpropFilterV2 Conv3DCustomBackpropFilterOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conv_grad_ops_3d.cc
tf.raw_ops.Conv3DBackpropInputV2 Conv3DCustomBackpropInputOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conv_grad_ops_3d.cc
tf.raw_ops.Copy CopyOp /home/sjy/code/tensorflow/tensorflow/core/kernels/debug_ops.cc
tf.raw_ops.CopyHost CopyOp /home/sjy/code/tensorflow/tensorflow/core/kernels/debug_ops.cc
tf.raw_ops.Cos UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Cosh UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.CountUpTo CountUpToOp /home/sjy/code/tensorflow/tensorflow/core/kernels/count_up_to_op.cc
tf.raw_ops.CropAndResize CropAndResizeOp /home/sjy/code/tensorflow/tensorflow/core/kernels/image/crop_and_resize_op.cc
tf.raw_ops.CropAndResizeGradBoxes CropAndResizeGradBoxesOp /home/sjy/code/tensorflow/tensorflow/core/kernels/image/crop_and_resize_op.cc
tf.raw_ops.CropAndResizeGradImage CropAndResizeGradImageOp /home/sjy/code/tensorflow/tensorflow/core/kernels/image/crop_and_resize_op.cc
tf.raw_ops.Cross CrossOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cross_op.cc
tf.raw_ops.CudnnRNN CudnnRNNForwardOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNBackprop CudnnRNNBackwardOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNBackpropV2 CudnnRNNBackwardOpV2 /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNBackpropV3 CudnnRNNBackwardOpV3 /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNCanonicalToParams CudnnRNNCanonicalToParams /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNCanonicalToParamsV2 CudnnRNNCanonicalToParams /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNParamsSize CudnnRNNParamsSizeOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNParamsToCanonical CudnnRNNParamsToCanonical /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNParamsToCanonicalV2 CudnnRNNParamsToCanonical /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNV2 CudnnRNNForwardOpV2 /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.CudnnRNNV3 CudnnRNNForwardOpV3 /home/sjy/code/tensorflow/tensorflow/core/kernels/cudnn_rnn_ops.cc
tf.raw_ops.Cumprod ScanOp /home/sjy/code/tensorflow/tensorflow/core/kernels/scan_ops.cc
tf.raw_ops.Cumsum ScanOp /home/sjy/code/tensorflow/tensorflow/core/kernels/scan_ops.cc
tf.raw_ops.CumulativeLogsumexp ScanOp /home/sjy/code/tensorflow/tensorflow/core/kernels/scan_ops.cc
